Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
77,Entry long,2025-11-16 19:00,L14,93994.5,0.001104,103.769928,2.62,2.52,3.12,3.01,-14.82,-14.29,34.69,0.35
78,Exit long,2026-01-14 15:00,TP2,96691.9,0.001104,103.769928,2.89,2.78,3.38,3.26,-14.82,-14.29,37.62,0.38
78,Entry long,2025-11-16 19:00,L14,93994.5,0.001104,103.769928,2.89,2.78,3.38,3.26,-14.82,-14.29,37.62,0.38
79,Exit long,2026-01-14 16:00,TP2,97232.2,0.001098,103.205961,3.46,3.36,3.99,3.86,-14.74,-14.29,41.13,0.41
79,Entry long,2025-11-16 19:00,L14,93994.5,0.001098,103.205961,3.46,3.36,3.99,3.86,-14.74,-14.29,41.13,0.41
80,Exit long,2026-01-23 17:00,TP1,90576,0.00094,88.35483,-3.28,-3.72,3.66,4.14,-12.62,-14.29,37.66,0.38
80,Entry long,2025-11-16 19:00,L14,93994.5,0.00094,88.35483,-3.28,-3.72,3.66,4.14,-12.62,-14.29,37.66,0.38
81,Exit long,2026-01-23 17:00,TP1,90576,0.000204,18.2816436,0.18,0.98,1.69,9.23,-1.85,-10.10,37.85,0.38
81,Entry long,2025-11-18 06:00,L15,89615.9,0.000204,18.2816436,0.18,0.98,1.69,9.23,-1.85,-10.10,37.85,0.38
82,Exit long,2026-01-27 20:00,TP1,89360.1,0.001158,103.7752122,-0.38,-0.37,9.58,9.23,-10.47,-10.10,37.29,0.37
82,Entry long,2025-11-18 06:00,L15,89615.9,0.001158,103.7752122,-0.38,-0.37,9.58,9.23,-10.47,-10.10,37.29,0.37
83,Exit long,2026-02-06 13:00,TP1,67274.9,0.001378,123.4907102,-30.82,-24.99,11.4,9.23,-41.06,-33.30,5.71,0.06
83,Entry long,2025-11-18 06:00,L15,89615.9,0.001378,123.4907102,-30.82,-24.99,11.4,9.23,-41.06,-33.30,5.71,0.06
84,Exit long,2026-02-06 16:00,TP2,69896,0.001378,123.4907102,-27.22,-22.07,11.4,9.23,-41.06,-33.30,-21.46,-0.21
84,Entry long,2025-11-18 06:00,L15,89615.9,0.001378,123.4907102,-27.22,-22.07,11.4,9.23,-41.06,-33.30,-21.46,-0.21
85,Exit long,2026-02-06 17:00,TP2,70707.3,0.001378,123.4907102,-26.1,-21.17,11.4,9.23,-41.06,-33.30,-47.51,-0.48
85,Entry long,2025-11-18 06:00,L15,89615.9,0.001378,123.4907102,-26.1,-21.17,11.4,9.23,-41.06,-33.30,-47.51,-0.48
86,Exit long,2026-02-06 18:00,TP2,69728.7,0.000028,2.5092452,-0.56,-22.26,0.23,9.23,-0.83,-33.30,-48.06,-0.48
86,Entry long,2025-11-18 06:00,L15,89615.9,0.000028,2.5092452,-0.56,-22.26,0.23,9.23,-0.83,-33.30,-48.06,-0.48
87,Exit long,2026-02-06 18:00,TP2,69728.7,0.00135,119.957895,-25.87,-21.60,12.19,10.16,-39.21,-32.73,-73.88,-0.74
87,Entry long,2025-11-19 19:00,L16,88857.7,0.00135,119.957895,-25.87,-21.60,12.19,10.16,-39.21,-32.73,-73.88,-0.74
88,Exit long,2026-02-06 19:00,TP2,70675.5,0.001378,122.4459106,-25.1,-20.53,12.45,10.16,-40.02,-32.73,-98.93,-0.99
88,Entry long,2025-11-19 19:00,L16,88857.7,0.001378,122.4459106,-25.1,-20.53,12.45,10.16,-40.02,-32.73,-98.93,-0.99
89,Exit long,2026-02-25 13:00,TP1,66209.5,0.001406,124.9339262,-31.94,-25.55,12.7,10.16,-40.83,-32.73,-131.01,-1.31
89,Entry long,2025-11-19 19:00,L16,88857.7,0.001406,124.9339262,-31.94,-25.55,12.7,10.16,-40.83,-32.73,-131.01,-1.31
90,Exit long,2026-02-25 18:00,TP2,69293.3,0.001406,124.9339262,-27.61,-22.08,12.7,10.16,-40.83,-32.73,-158.56,-1.59
90,Entry long,2025-11-19 19:00,L16,88857.7,0.001406,124.9339262,-27.61,-22.08,12.7,10.16,-40.83,-32.73,-158.56,-1.59
91,Exit long,2026-02-25 19:00,TP2,69005.2,0.000034,3.0211618,-0.68,-22.41,0.31,10.16,-0.99,-32.73,-159.24,-1.59
91,Entry long,2025-11-19 19:00,L16,88857.7,0.000034,3.0211618,-0.68,-22.41,0.31,10.16,-0.99,-32.73,-159.24,-1.59
92,Exit long,2026-02-25 19:00,TP2,69005.2,0.001372,112.7628964,-18.18,-16.11,21.54,19.10,-30.71,-27.27,-177.37,-1.77
92,Entry long,2025-11-21 09:00,L17,82188.7,0.001372,112.7628964,-18.18,-16.11,21.54,19.10,-30.71,-27.27,-177.37,-1.77
93,Exit long,2026-02-25 20:00,TP2,69104.9,0.001406,115.5573122,-18.49,-15.99,22.07,19.10,-31.47,-27.27,-195.81,-1.96
93,Entry long,2025-11-21 09:00,L17,82188.7,0.001406,115.5573122,-18.49,-15.99,22.07,19.10,-31.47,-27.27,-195.81,-1.96
94,Exit long,2026-02-25 21:00,TP2,68874.2,0.001406,115.5573122,-18.81,-16.27,22.07,19.10,-31.47,-27.27,-214.57,-2.15
94,Entry long,2025-11-21 09:00,L17,82188.7,0.001406,115.5573122,-18.81,-16.27,22.07,19.10,-31.47,-27.27,-214.57,-2.15
