Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
17,Exit short,2025-05-26 19:45,BULL|609.634|-19.6278125901|523.981355|1.1634650626|0.0321960596|295.0030937049|314.6309062951|39.302001422|34.1313371918|-204.0376651411|-373.4306861521|-435.3965443857|-3.3459608355|168.6819100113|-2.0925612376|-4.2916772057|2.1120760155|-0.0936613038|0.4959057433|0.028559696|1|0|1|0,108958.7,1,108417.3,-541.4,-0.50,226.9,0.21,-1982.7,-1.83,13475.6,0.01
17,Entry short,2025-05-25 22:25,BEAR|2352.426|-1874.8015717033|540.680495|4.3508615934|0.7969651635|238.8122141483|2113.6137858517|68.7873239649|73.6512967744|518.9904679127|657.00897721|707.3280053407|78.5659597791|233.5432581741|15.2971605441|16.6196122564|100.5378779298|0.59246618|3.8379847004|0.4651786206|0|1|0|1,108417.3,1,108417.3,-541.4,-0.50,226.9,0.21,-1982.7,-1.83,13475.6,0.01
18,Exit short,2025-05-26 19:45,BULL|609.634|-19.6278125901|523.981355|1.1634650626|0.0321960596|295.0030937049|314.6309062951|39.302001422|34.1313371918|-204.0376651411|-373.4306861521|-435.3965443857|-3.3459608355|168.6819100113|-2.0925612376|-4.2916772057|2.1120760155|-0.0936613038|0.4959057433|0.028559696|1|0|1|0,108958.7,1,109055.1,96.4,0.09,555.9,0.51,-1344.9,-1.23,13572,0.01
18,Entry short,2025-05-25 23:10,BEAR|2869.674|-465.3336283833|602.506815|4.7628905243|0.1621555718|1202.1701858083|1667.5038141917|76.7227062735|80.8492608481|759.7351218741|1145.4905789223|1434.1710854334|104.3962878195|258.3999601425|7.479091253|8.3451177525|19.1650080755|0.5840595645|3.0543011435|-0.8378444282|0|1|0|1,109055.1,1,109055.1,96.4,0.09,555.9,0.51,-1344.9,-1.23,13572,0.01
19,Exit short,2025-05-26 19:45,BULL|609.634|-19.6278125901|523.981355|1.1634650626|0.0321960596|295.0030937049|314.6309062951|39.302001422|34.1313371918|-204.0376651411|-373.4306861521|-435.3965443857|-3.3459608355|168.6819100113|-2.0925612376|-4.2916772057|2.1120760155|-0.0936613038|0.4959057433|0.028559696|1|0|1|0,108958.7,1,109223.1,264.4,0.24,416.1,0.38,-1176.9,-1.08,13836.4,0.01
19,Entry short,2025-05-26 00:55,BEAR|834.647|-444.5441688984|631.17432|1.3223716073|0.5326133909|195.0514155508|639.5955844492|66.5890580405|70.4747243904|312.0353364364|688.5651754872|1304.9060057517|-5.1816810578|203.7906963649|6.3896361151|15.8641155281|31.2983452083|0.2671124665|0.8322355752|-0.0189017606|0|1|0|1,109223.1,1,109223.1,264.4,0.24,416.1,0.38,-1176.9,-1.08,13836.4,0.01
20,Exit short,2025-05-26 19:45,BULL|609.634|-19.6278125901|523.981355|1.1634650626|0.0321960596|295.0030937049|314.6309062951|39.302001422|34.1313371918|-204.0376651411|-373.4306861521|-435.3965443857|-3.3459608355|168.6819100113|-2.0925612376|-4.2916772057|2.1120760155|-0.0936613038|0.4959057433|0.028559696|1|0|1|0,108958.7,1,109500.1,541.4,0.49,693.1,0.63,-899.9,-0.82,14377.8,0.01
20,Entry short,2025-05-26 01:00,BEAR|1026.111|-224.4082487479|633.93805|1.6186297699|0.2186978297|400.851375626|625.259624374|68.2962948071|73.7727396325|342.0321240331|723.2449725269|1355.4830604208|1.5951565054|210.6270751959|13.5028420089|30.68790773|46.9516560378|0.4276470951|-0.1655473464|0.2072447159|0|1|0|1,109500.1,1,109500.1,541.4,0.49,693.1,0.63,-899.9,-0.82,14377.8,0.01
21,Exit short,2025-05-26 19:45,BULL|609.634|-19.6278125901|523.981355|1.1634650626|0.0321960596|295.0030937049|314.6309062951|39.302001422|34.1313371918|-204.0376651411|-373.4306861521|-435.3965443857|-3.3459608355|168.6819100113|-2.0925612376|-4.2916772057|2.1120760155|-0.0936613038|0.4959057433|0.028559696|1|0|1|0,108958.7,1,109356.2,397.5,0.36,549.2,0.50,-1043.8,-0.95,14775.3,0.01
21,Entry short,2025-05-26 01:10,BEAR|2097.604|-1757.2161109571|648.28481|3.2356210845|0.8377253814|170.1939445215|1927.4100554785|74.8206470863|83.7892752483|532.9521686224|945.9072968232|1623.4226473534|32.8908639114|225.3003862659|7.817375332|12.3141804496|55.1438724331|0.3341004115|0.9265975142|-0.1622746186|0|1|0|1,109356.2,1,109356.2,397.5,0.36,549.2,0.50,-1043.8,-0.95,14775.3,0.01
22,Exit short,2025-05-26 19:45,BULL|609.634|-19.6278125901|523.981355|1.1634650626|0.0321960596|295.0030937049|314.6309062951|39.302001422|34.1313371918|-204.0376651411|-373.4306861521|-435.3965443857|-3.3459608355|168.6819100113|-2.0925612376|-4.2916772057|2.1120760155|-0.0936613038|0.4959057433|0.028559696|1|0|1|0,108958.7,1,109507,548.3,0.50,700,0.64,-893,-0.82,15323.6,0.02
22,Entry short,2025-05-26 01:55,BEAR|1712.062|-811.8027316666|633.51039|2.70250027|0.4741666667|450.1296341667|1261.9323658333|70.7052077096|76.3136517347|447.148413787|855.1166385667|1651.3219936259|11.0162454484|214.1596048149|9.8569085117|20.48242471|19.3311516553|0.375679747|2.2002939596|0.0638380282|0|1|0|1,109507,1,109507,548.3,0.50,700,0.64,-893,-0.82,15323.6,0.02
23,Exit short,2025-05-26 19:45,BULL|609.634|-19.6278125901|523.981355|1.1634650626|0.0321960596|295.0030937049|314.6309062951|39.302001422|34.1313371918|-204.0376651411|-373.4306861521|-435.3965443857|-3.3459608355|168.6819100113|-2.0925612376|-4.2916772057|2.1120760155|-0.0936613038|0.4959057433|0.028559696|1|0|1|0,108958.7,1,110223.5,1264.8,1.15,1416.5,1.29,-171.2,-0.16,16588.4,0.02
23,Entry short,2025-05-26 15:40,BEAR|3828.646|-260.6737702127|507.731755|7.5406865186|0.0680851064|1783.9861148936|2044.6598851064|69.6874309021|82.8777283844|404.0616051818|415.5136272102|740.1070456969|49.9488066255|168.0322658312|19.9402377744|29.5202550153|47.0682649001|0.4288110686|6.803443061|-0.758262199|0|1|0|1,110223.5,1,110223.5,1264.8,1.15,1416.5,1.29,-171.2,-0.16,16588.4,0.02
24,Exit long,2025-05-27 13:20,BEAR|5901.322|232.695954751|624.38721|9.4513819397|0.0394311571|3067.0089773755|2834.3130226245|74.4149913624|84.3066375124|646.8678858899|738.2267342761|1004.4911159977|65.2225927461|165.7505926484|29.0877319059|42.9816702352|72.233212451|0.7624901253|8.8694721238|-0.1114460359|0|1|0|1,110600,1,108958.7,1641.3,1.51,1741.3,1.60,-1520.7,-1.40,18229.7,0.02
24,Entry long,2025-05-26 19:45,BULL|609.634|-19.6278125901|523.981355|1.1634650626|0.0321960596|295.0030937049|314.6309062951|39.302001422|34.1313371918|-204.0376651411|-373.4306861521|-435.3965443857|-3.3459608355|168.6819100113|-2.0925612376|-4.2916772057|2.1120760155|-0.0936613038|0.4959057433|0.028559696|1|0|1|0,108958.7,1,108958.7,1641.3,1.51,1741.3,1.60,-1520.7,-1.40,18229.7,0.02
25,Exit long,2025-05-27 13:20,BEAR|5901.322|232.695954751|624.38721|9.4513819397|0.0394311571|3067.0089773755|2834.3130226245|74.4149913624|84.3066375124|646.8678858899|738.2267342761|1004.4911159977|65.2225927461|165.7505926484|29.0877319059|42.9816702352|72.233212451|0.7624901253|8.8694721238|-0.1114460359|0|1|0|1,110600,1,108319.7,2280.3,2.11,2380.3,2.20,-464.7,-0.43,20510,0.02
25,Entry long,2025-05-27 01:30,BULL|9181.942|5174.2313646324|558.19592|16.4493176518|0.5635225494|7178.0866823162|2003.8553176838|13.9384724492|4.6471371557|-982.7061276615|-1156.9427320006|-1288.2838673762|-135.1826743221|216.9959514898|-24.5760105108|-22.8878146362|-109.8281953834|-1.0240612695|15.5753411324|-0.1471867691|1|0|1|0,108319.7,1,108319.7,2280.3,2.11,2380.3,2.20,-464.7,-0.43,20510,0.02
26,Exit short,2025-05-28 02:35,BULL|1393.298|70.9513810858|748.00578|1.8626834675|0.0509233352|732.1246905429|661.1733094571|33.8898930376|24.7938190597|-303.3483819587|-463.4293738719|-864.8480613603|-33.539515159|158.8431650214|-5.3416233234|-7.3097525421|-12.4747333725|-0.1864029839|0.6261561809|-0.189052727|1|0|1|0,108550,1,110600,2050,1.85,2260.8,2.04,-82,-0.07,22560,0.02
26,Entry short,2025-05-27 13:20,BEAR|5901.322|232.695954751|624.38721|9.4513819397|0.0394311571|3067.0089773755|2834.3130226245|74.4149913624|84.3066375124|646.8678858899|738.2267342761|1004.4911159977|65.2225927461|165.7505926484|29.0877319059|42.9816702352|72.233212451|0.7624901253|8.8694721238|-0.1114460359|0|1|0|1,110600,1,110600,2050,1.85,2260.8,2.04,-82,-0.07,22560,0.02
27,Exit long,2025-05-29 11:05,BEAR|1980.782|-232.1228906251|477.339155|4.149632351|0.1171875|874.3295546874|1106.4524453126|69.6094681357|77.3005159765|255.8991091249|444.6209098476|706.8658374994|6.9342459802|129.0896184024|10.3993869839|20.1907431145|25.4795149807|0.2134010317|3.3945638589|-0.4772375871|0|1|0|1,108774.4,1,108550,224.4,0.21,526.2,0.48,-1826.1,-1.68,22784.4,0.02
27,Entry long,2025-05-28 02:35,BULL|1393.298|70.9513810858|748.00578|1.8626834675|0.0509233352|732.1246905429|661.1733094571|33.8898930376|24.7938190597|-303.3483819587|-463.4293738719|-864.8480613603|-33.539515159|158.8431650214|-5.3416233234|-7.3097525421|-12.4747333725|-0.1864029839|0.6261561809|-0.189052727|1|0|1|0,108550,1,108550,224.4,0.21,526.2,0.48,-1826.1,-1.68,22784.4,0.02
28,Exit long,2025-05-29 11:05,BEAR|1980.782|-232.1228906251|477.339155|4.149632351|0.1171875|874.3295546874|1106.4524453126|69.6094681357|77.3005159765|255.8991091249|444.6209098476|706.8658374994|6.9342459802|129.0896184024|10.3993869839|20.1907431145|25.4795149807|0.2134010317|3.3945638589|-0.4772375871|0|1|0|1,108774.4,1,107555,1219.4,1.13,1272.1,1.18,-831.1,-0.77,24003.8,0.02
