Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
43,Exit long,2025-08-29 14:25,TP,108750,0.922617,100289.8518,44.75,0.04,193.93,0.19,-397.19,-0.40,4464.81,0.45
43,Entry long,2025-08-29 14:10,L42,108701.5,0.922617,100289.8518,44.75,0.04,193.93,0.19,-397.19,-0.40,4464.81,0.45
44,Exit long,2025-08-29 21:05,TP,107643.2,0.933312,100557.3682,-92.68,-0.09,19.97,0.02,-309.02,-0.31,4372.13,0.44
44,Entry long,2025-08-29 21:00,L43,107742.5,0.933312,100557.3682,-92.68,-0.09,19.97,0.02,-309.02,-0.31,4372.13,0.44
45,Exit long,2025-09-04 06:55,TP,110436.6,0.909514,100410.7094,32.92,0.03,32.92,0.03,-148.43,-0.15,4405.05,0.44
45,Entry long,2025-09-04 06:40,L44,110400.4,0.909514,100410.7094,32.92,0.03,32.92,0.03,-148.43,-0.15,4405.05,0.44
46,Exit long,2025-09-15 02:05,TP,115339.2,0.871216,100372.7954,112.56,0.11,150.98,0.15,-377.24,-0.38,4517.61,0.45
46,Entry long,2025-09-15 00:00,L45,115210,0.871216,100372.7954,112.56,0.11,150.98,0.15,-377.24,-0.38,4517.61,0.45
47,Exit long,2025-09-19 10:45,TP,116473.1,0.862349,100369.9212,70.54,0.07,85.89,0.09,-8.8,-0.01,4588.15,0.46
47,Entry long,2025-09-19 10:20,L46,116391.3,0.862349,100369.9212,70.54,0.07,85.89,0.09,-8.8,-0.01,4588.15,0.46
48,Exit long,2025-09-19 20:20,TP,115294.8,0.871927,100500.8346,27.81,0.03,48.65,0.05,-20.49,-0.02,4615.97,0.46
48,Entry long,2025-09-19 20:15,L47,115262.9,0.871927,100500.8346,27.81,0.03,48.65,0.05,-20.49,-0.02,4615.97,0.46
49,Exit long,2025-09-23 03:30,TP,112263.6,0.896938,100554.015,139.47,0.14,234.82,0.23,-0.09,0.00,4755.44,0.48
49,Entry long,2025-09-23 03:25,L48,112108.1,0.896938,100554.015,139.47,0.14,234.82,0.23,-0.09,0.00,4755.44,0.48
50,Exit long,2025-09-25 17:55,TP,109060,0.91902,100269.5852,-41.26,-0.04,225.16,0.22,-45.49,-0.05,4714.18,0.47
50,Entry long,2025-09-25 17:50,L49,109104.9,0.91902,100269.5852,-41.26,-0.04,225.16,0.22,-45.49,-0.05,4714.18,0.47
51,Exit long,2025-10-07 14:50,TP,122781,0.81901,100547.0731,11.79,0.01,157.74,0.16,-34.89,-0.03,4725.97,0.47
51,Entry long,2025-10-07 14:45,L50,122766.6,0.81901,100547.0731,11.79,0.01,157.74,0.16,-34.89,-0.03,4725.97,0.47
52,Exit long,2025-10-07 18:45,TP,120738.5,0.832042,100376.798,82.7,0.08,111.08,0.11,-77.88,-0.08,4808.68,0.48
52,Entry long,2025-10-07 18:40,L51,120639.1,0.832042,100376.798,82.7,0.08,111.08,0.11,-77.88,-0.08,4808.68,0.48
53,Exit long,2025-10-10 17:30,TP,118108.6,0.851467,100521.5545,44.02,0.04,122.78,0.12,-65.48,-0.07,4852.7,0.49
53,Entry long,2025-10-10 17:25,L52,118056.9,0.851467,100521.5545,44.02,0.04,122.78,0.12,-65.48,-0.07,4852.7,0.49
54,Exit long,2025-10-12 20:30,TP,115175,0.873732,99939.47574,692.61,0.69,806.89,0.81,-11241.26,-11.25,5545.31,0.55
54,Entry long,2025-10-10 21:10,L53,114382.3,0.873732,99939.47574,692.61,0.69,806.89,0.81,-11241.26,-11.25,5545.31,0.55
55,Exit long,2025-10-14 05:55,TP,112533.2,0.894252,100620.4302,12.61,0.01,114.82,0.11,-97.92,-0.10,5557.91,0.56
55,Entry long,2025-10-14 05:50,L54,112519.1,0.894252,100620.4302,12.61,0.01,114.82,0.11,-97.92,-0.10,5557.91,0.56
56,Exit long,2025-10-14 13:55,TP,110919.2,0.908737,100786.2032,10.18,0.01,134.58,0.13,-224.91,-0.22,5568.09,0.56
56,Entry long,2025-10-14 13:50,L55,110908,0.908737,100786.2032,10.18,0.01,134.58,0.13,-224.91,-0.22,5568.09,0.56
57,Exit long,2025-10-17 11:20,TP,106055.7,0.946355,100267.7318,98.61,0.10,395.39,0.39,-2348.38,-2.34,5666.7,0.57
57,Entry long,2025-10-17 07:35,L56,105951.5,0.946355,100267.7318,98.61,0.10,395.39,0.39,-2348.38,-2.34,5666.7,0.57
58,Exit long,2025-10-21 04:30,TP,108181.9,0.929785,100562.4773,23.43,0.02,77.45,0.08,-86.56,-0.09,5690.13,0.57
58,Entry long,2025-10-21 04:25,L57,108156.7,0.929785,100562.4773,23.43,0.02,77.45,0.08,-86.56,-0.09,5690.13,0.57
59,Exit long,2025-10-27 23:25,TP,113840.1,0.882179,100548.9981,-121.65,-0.12,42.96,0.04,-163.73,-0.16,5568.48,0.56
59,Entry long,2025-10-27 23:15,L58,113978,0.882179,100548.9981,-121.65,-0.12,42.96,0.04,-163.73,-0.16,5568.48,0.56
60,Exit long,2025-10-28 21:45,TP,113066.4,0.890078,100299.7745,338.14,0.34,338.14,0.34,-502.98,-0.50,5906.62,0.59
60,Entry long,2025-10-28 20:45,L59,112686.5,0.890078,100299.7745,338.14,0.34,338.14,0.34,-502.98,-0.50,5906.62,0.59
61,Exit long,2025-10-29 16:25,TP,111294.9,0.906323,100705.3551,163.77,0.16,204.83,0.20,0,0.00,6070.39,0.61
61,Entry long,2025-10-29 16:20,L60,111114.2,0.906323,100705.3551,163.77,0.16,204.83,0.20,0,0.00,6070.39,0.61
62,Exit long,2025-10-30 19:30,TP,106968.4,0.939931,100435.5751,107.34,0.11,214.02,0.21,-233.57,-0.23,6177.73,0.62
62,Entry long,2025-10-30 19:15,L61,106854.2,0.939931,100435.5751,107.34,0.11,214.02,0.21,-233.57,-0.23,6177.73,0.62
63,Exit long,2025-11-02 16:35,TP,109951.3,0.915021,100677.2901,-69.54,-0.07,35.59,0.04,-125.63,-0.12,6108.19,0.61
63,Entry long,2025-11-02 16:30,L62,110027.3,0.915021,100677.2901,-69.54,-0.07,35.59,0.04,-125.63,-0.12,6108.19,0.61
64,Exit long,2025-11-03 03:45,TP,108207.5,0.930202,100637.9032,16.93,0.02,126.23,0.13,-17.02,-0.02,6125.12,0.61
64,Entry long,2025-11-03 03:40,L63,108189.3,0.930202,100637.9032,16.93,0.02,126.23,0.13,-17.02,-0.02,6125.12,0.61
65,Exit long,2025-11-03 16:25,TP,106363.4,0.945489,100281.4944,283.93,0.28,358.62,0.36,-721.5,-0.72,6409.05,0.64
65,Entry long,2025-11-03 15:45,L64,106063.1,0.945489,100281.4944,283.93,0.28,358.62,0.36,-721.5,-0.72,6409.05,0.64
66,Exit long,2025-11-04 06:20,TP,104865.4,0.964996,101179.7341,14.96,0.01,328.2,0.32,-64.17,-0.06,6424.01,0.64
66,Entry long,2025-11-04 06:15,L65,104849.9,0.964996,101179.7341,14.96,0.01,328.2,0.32,-64.17,-0.06,6424.01,0.64
67,Exit long,2025-11-04 20:35,TP,100087.7,0.984495,100187.429,-1651.59,-1.65,205.46,0.21,-2247.31,-2.24,4772.42,0.48
67,Entry long,2025-11-04 17:05,L66,101765.3,0.984495,100187.429,-1651.59,-1.65,205.46,0.21,-2247.31,-2.24,4772.42,0.48
